0_URL	1_doc_gender	2_doc_sent	3_female_sent	4_male_sent	5_0_HEAR	6_0_POWER	7_0_COMPARE	8_0_ANX	9_0_ARTICLE	10_0_PPRON	11_0_FUNCTION	12_0_SOCIAL	13_0_SPACE	14_0_FAMILY	15_0_I	16_0_AFFECT	17_0_NUMBER	18_0_ASSENT	19_0_COGPROC	20_0_DISCREP	21_0_SHEHE	22_0_FOCUSPAST	23_0_TIME	24_0_SWEAR	25_0_AUXVERB	26_0_AFFILIATION	27_0_ANGER	28_0_RELATIV	29_0_FILLER	30_0_DEATH	31_0_MOTION	32_0_NETSPEAK	33_0_VERB	34_0_YOU	35_0_PREP	36_0_HEALTH	37_0_BIO	38_0_PRONOUN	39_0_CERTAIN	40_0_FEEL	41_0_TENTAT	42_0_LEISURE	43_0_ADVERB	44_0_FOCUSPRESENT	45_0_REWARD	46_0_INSIGHT	47_0_DIFFER	48_0_CONJ	49_0_MONEY	50_0_FRIEND	51_0_THEY	52_0_WORK	53_0_FOCUSFUTURE	54_0_RELIG	55_0_ADJ	56_0_NONFLU	57_0_SEXUAL	58_0_IPRON	59_0_INTERROG	60_0_ACHIEV	61_0_INFORMAL	62_0_HOME	63_0_INGEST	64_0_MALE	65_0_FEMALE	66_0_CAUSE	67_0_BODY	68_0_DRIVES	69_0_SAD	70_0_NEGEMO	71_0_RISK	72_0_WE	73_0_PERCEPT	74_0_POSEMO	75_0_QUANT	76_0_SEE	77_0_NEGATE	78_1_HEAR	79_1_POWER	80_1_COMPARE	81_1_ANX	82_1_ARTICLE	83_1_PPRON	84_1_FUNCTION	85_1_SOCIAL	86_1_SPACE	87_1_FAMILY	88_1_I	89_1_AFFECT	90_1_NUMBER	91_1_ASSENT	92_1_COGPROC	93_1_DISCREP	94_1_SHEHE	95_1_FOCUSPAST	96_1_TIME	97_1_SWEAR	98_1_AUXVERB	99_1_AFFILIATION	100_1_ANGER	101_1_RELATIV	102_1_FILLER	103_1_DEATH	104_1_MOTION	105_1_NETSPEAK	106_1_VERB	107_1_YOU	108_1_PREP	109_1_HEALTH	110_1_BIO	111_1_PRONOUN	112_1_CERTAIN	113_1_FEEL	114_1_TENTAT	115_1_LEISURE	116_1_ADVERB	117_1_FOCUSPRESENT	118_1_REWARD	119_1_INSIGHT	120_1_DIFFER	121_1_CONJ	122_1_MONEY	123_1_FRIEND	124_1_THEY	125_1_WORK	126_1_FOCUSFUTURE	127_1_RELIG	128_1_ADJ	129_1_NONFLU	130_1_SEXUAL	131_1_IPRON	132_1_INTERROG	133_1_ACHIEV	134_1_INFORMAL	135_1_HOME	136_1_INGEST	137_1_MALE	138_1_FEMALE	139_1_CAUSE	140_1_BODY	141_1_DRIVES	142_1_SAD	143_1_NEGEMO	144_1_RISK	145_1_WE	146_1_PERCEPT	147_1_POSEMO	148_1_QUANT	149_1_SEE	150_1_NEGATE	151_2_HEAR	152_2_POWER	153_2_COMPARE	154_2_ANX	155_2_ARTICLE	156_2_PPRON	157_2_FUNCTION	158_2_SOCIAL	159_2_SPACE	160_2_FAMILY	161_2_I	162_2_AFFECT	163_2_NUMBER	164_2_ASSENT	165_2_COGPROC	166_2_DISCREP	167_2_SHEHE	168_2_FOCUSPAST	169_2_TIME	170_2_SWEAR	171_2_AUXVERB	172_2_AFFILIATION	173_2_ANGER	174_2_RELATIV	175_2_FILLER	176_2_DEATH	177_2_MOTION	178_2_NETSPEAK	179_2_VERB	180_2_YOU	181_2_PREP	182_2_HEALTH	183_2_BIO	184_2_PRONOUN	185_2_CERTAIN	186_2_FEEL	187_2_TENTAT	188_2_LEISURE	189_2_ADVERB	190_2_FOCUSPRESENT	191_2_REWARD	192_2_INSIGHT	193_2_DIFFER	194_2_CONJ	195_2_MONEY	196_2_FRIEND	197_2_THEY	198_2_WORK	199_2_FOCUSFUTURE	200_2_RELIG	201_2_ADJ	202_2_NONFLU	203_2_SEXUAL	204_2_IPRON	205_2_INTERROG	206_2_ACHIEV	207_2_INFORMAL	208_2_HOME	209_2_INGEST	210_2_MALE	211_2_FEMALE	212_2_CAUSE	213_2_BODY	214_2_DRIVES	215_2_SAD	216_2_NEGEMO	217_2_RISK	218_2_WE	219_2_PERCEPT	220_2_POSEMO	221_2_QUANT	222_2_SEE	223_2_NEGATE	
http://reason.com/blog/2017/11/03/would-extremer-vetting-have-stopped-this/print	Gender.NONE	-0.8436	0	-0.08768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	4	3	1	1	0	0	1	0	0	0	1	0	0	0	2	0	0	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
http://reason.com/blog/2018/03/30/omar-mateen-pulse-noor-salman	Gender.NONE	-0.991	-0.43970000000000004	-0.06552	0	5	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	3	0	0	1	0	0	0	0	0	0	2	4	1	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	1	0	1	0	0	1	2	1	0	0	1	1	1	0	0	1	1	0	1	0	0	0	0	0	0	
http://reason.com/blog/2018/03/28/report-fbi-officials-dragged-feet-breaki	Gender.NONE	-0.9872	0	0.31816666666666665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	4	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	3	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	
http://reason.com/blog/2018/03/12/trump-is-more-like-recent-presidents-tha	Gender.MALE	-0.9626	-0.126125	-0.010036111111111122	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	2	11	0	1	0	0	0	0	1	0	0	2	8	13	0	0	5	0	11	0	1	0	0	0	0	3	0	5	1	0	3	0	1	0	1	0	3	0	0	1	0	0	3	0	0	0	5	6	6	0	0	3	7	11	1	3	2	0	4	0	0	1	3	1	0	0	8	1	0	4	0	0	8	0	5	1	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	4	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	0	0	0	1	4	0	1	1	0	0	0	0	2	0	0	0	0	4	0	0	1	0	
http://reason.com/blog/2017/11/03/movie-review-thor-ragnarok-and-lady-bir	Gender.NONE	0.8519	0.0	0.13715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	1	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	
http://reason.com/blog/2017/11/03/sen-feinsteins-threat-to-do-something-to	Gender.NONE	-0.8628	0.10895999999999999	0.0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	9	0	4	3	0	0	0	0	0	0	0	0	1	2	2	0	0	1	0	10	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	7	0	0	1	0	8	0	0	0	0	0	0	0	4	5	0	0	0	3	1	0	3	0	
http://reason.com/blog/2018/01/10/amash-paul-and-others-trying-to-stop-con	Gender.NONE	-0.8967	0	0.16690000000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	1	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
http://reason.com/blog/2018/01/11/trump-tweets-opposition-to-his-own-posit	Gender.MALE	-0.7431	-0.8779	-0.28404444444444443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	2	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	2	0	0	0	0	0	0	0	0	0	1	3	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	3	2	1	0	0	1	0	5	0	1	0	0	3	0	0	1	4	0	0	0	1	0	0	0	0	
http://reason.com/blog/2018/01/11/house-votes-to-renew-expand-authority-to/print	Gender.NONE	-0.9179	0.4767	0.33486666666666665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	3	0	0	1	1	3	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	
http://reason.com/blog/2018/04/02/reason-roundup	Gender.MALE	-0.9815	0	0.28595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	11	3	7	0	0	0	0	0	0	1	0	0	1	6	2	0	0	2	0	3	0	0	0	0	0	1	2	0	5	1	0	0	0	0	0	3	0	2	0	0	3	0	0	1	0	0	0	1	5	3	0	0	2	1	5	0	0	0	0	1	0	0	1	1	0	0	0	4	3	0	3	0	
http://reason.com/blog/2018/01/11/this-marijuana-reform-t-shirt-cost-iowa	Gender.NONE	0.9696	0	0.4215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	3	0	0	0	0	0	0	0	0	0	1	4	0	0	0	1	1	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	2	4	0	0	1	0	3	0	0	1	0	0	0	0	1	1	0	1	0	2	0	0	4	0	
http://reason.com/blog/2018/01/11/trumps-protectionism-brings-us-canada-re	Gender.MALE	0.765	0	0.24416000000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	4	0	2	0	0	0	0	0	0	0	0	0	0	2	2	0	0	1	0	4	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	3	0	0	0	0	5	0	0	0	1	0	0	0	0	5	0	1	0	0	1	0	0	0	
http://reason.com/blog/2018/01/04/sessions-still-is-not-leading-a-cannabis	Gender.MALE	-0.7618	0	0.026015384615384614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	0	8	0	0	0	0	0	0	3	0	1	5	6	2	0	0	0	0	11	0	1	0	0	1	1	0	0	0	3	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	3	7	8	0	0	0	0	6	0	2	0	0	2	0	0	0	3	0	0	0	3	0	0	4	0	2	17	0	6	0	0	1	0	0	0	1	0	0	2	7	8	0	0	2	0	7	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	2	2	0	1	0	0	1	0	0	0	2	5	5	0	0	2	7	3	0	2	0	0	2	0	0	0	2	0	3	0	1	0	0	7	0	
http://reason.com/blog/2018/01/04/blame-scotus-for-allowing-the-feds-to-ta	Gender.NONE	-0.782	0	-0.10324444444444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	
http://reason.com/blog/2018/01/05/did-jeff-sessions-marijuana-memo-restore/print	Gender.MALE	-0.9972	-0.296	0.05366875	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	14	2	4	0	0	0	0	0	0	1	0	2	2	7	4	0	0	0	1	6	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	4	4	6	0	0	0	0	2	0	0	0	0	3	0	0	1	2	0	1	0	0	0	0	4	0	1	12	0	5	0	1	0	0	0	0	0	0	1	0	2	4	0	0	0	0	11	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	3	8	0	0	0	1	7	0	0	2	0	0	0	0	0	6	0	1	0	1	0	0	2	0	
http://reason.com/blog/2018/01/05/new-trump-book-brings-fire-and-fury-to-t	Gender.MALE	-0.8602	0	-0.10616666666666669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	0	0	0	0	0	1	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	3	2	0	0	0	0	1	0	0	0	0	0	3	0	2	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	
http://reason.com/blog/2016/05/28/the-libertarian-partys-vice-presidential	Gender.NONE	0.9992	0.142725	0.2419263157894737	1	4	0	5	0	0	0	0	0	0	0	0	0	0	5	2	0	0	2	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	4	0	0	0	1	4	1	0	0	0	0	0	0	0	1	1	0	3	0	0	0	0	2	0	0	32	0	26	0	0	0	0	0	0	0	0	1	5	17	6	0	0	7	0	18	0	2	0	0	1	1	1	0	8	0	0	0	0	0	0	1	0	7	0	0	4	0	1	6	0	0	0	6	19	10	0	0	7	12	21	1	4	4	0	4	0	0	1	6	0	4	0	15	0	0	9	0	0	11	0	11	0	0	0	0	0	0	0	0	1	0	3	2	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	7	3	0	0	0	3	8	2	1	0	0	0	0	0	0	2	0	2	0	6	0	0	3	0	
http://reason.com/blog/2018/02/07/larry-sharpe-libertarian-candidate-for-g/print	Gender.NONE	0.9779	-0.030225000000000002	-0.0802794117647059	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19	1	19	3	0	1	0	0	0	0	0	0	3	6	3	0	0	3	0	11	0	0	0	0	1	0	1	0	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0	5	0	0	1	2	13	6	0	0	3	1	15	1	1	0	0	2	0	0	4	5	0	0	0	10	0	0	5	0	2	27	2	15	4	1	3	0	0	0	0	0	1	0	6	5	0	0	3	0	16	0	0	0	0	1	2	3	0	5	0	0	0	0	0	0	1	0	3	0	0	0	0	0	10	0	0	0	0	4	6	0	0	3	5	16	0	1	5	0	0	0	0	7	6	0	1	0	9	1	0	5	0	
http://reason.com/blog/2018/04/06/libertarian-senator-gets-her-occupationa	Gender.NONE	0.9902	0.35800000000000004	0	0	5	1	6	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	1	0	0	0	2	3	0	2	0	0	0	0	0	0	1	0	1	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	0	12	0	0	0	0	0	0	1	0	2	5	13	8	0	0	0	0	14	0	0	0	0	1	1	2	0	0	1	0	0	0	0	0	2	0	0	0	0	3	0	0	3	0	0	0	1	9	8	0	0	0	9	12	0	3	2	1	1	0	0	13	4	0	5	0	8	1	0	12	0	
http://reason.com/blog/2014/10/01/arizonas-sheriff-joe-ordered-again-to-im	Gender.NONE	0.2732	0	0.0043599999999999976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	2	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	2	0	0	0	2	3	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	1	0	0	6	0	2	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
http://reason.com/blog/2016/11/09/on-the-plus-side-sheriff-joe-arpaio-got	Gender.NONE	-0.9928	0	-0.06640714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	3	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	1	2	0	0	0	1	3	0	0	0	0	1	0	0	0	2	0	0	0	1	1	0	1	0	1	6	1	6	0	3	1	0	0	0	2	0	0	0	1	0	0	0	0	0	7	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	6	0	0	0	0	5	0	0	0	1	0	0	0	0	2	0	1	0	2	0	0	1	0	
http://reason.com/blog/2017/08/25/trumps-pardon-of-former-sheriff-joe-arpa/print	Gender.MALE	-0.992	-0.5859	-0.20487894736842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	1	3	0	1	0	0	0	0	0	0	0	1	2	5	0	0	0	0	3	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	2	2	0	0	0	1	9	0	1	0	0	1	0	0	0	2	0	1	0	7	0	0	1	0	0	9	0	2	0	0	0	0	0	0	0	0	0	0	4	2	0	0	3	0	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	1	1	3	0	0	3	1	5	0	0	1	0	1	0	0	0	1	0	1	0	4	0	0	3	0	
http://reason.com/blog/2018/01/09/americas-whiniest-ex-sheriff-joe-arpaio	Gender.NONE	-0.9676	0	-0.07204666666666666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	4	0	1	0	0	0	0	1	0	0	0	1	4	0	0	0	0	6	0	0	0	0	0	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	2	5	0	0	0	1	7	0	1	0	0	0	0	0	0	4	0	1	0	3	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
